Candidatures :,21,Entreprise à contacter :,6,,Important,Atol offre sur site vacances toussain,,,,,,,,,,,,,
Réponse négative :,6,,,,,,,,,,,,,,,,,,
Pas de réponse :,12,Réponse en attente :,3,,,,,,,,,,,,,,,,
Entreprise,Postulé,date envoi,date relance,Description / Remarques,Taille,Pays,Ville,Adresse,Langue,Techno,Type postuler,Alternance,contact,issu de ,Resultat,Conversation,Conversation 2,Conversation 3,Conversation 4
Algoryx Simulation AB — Umeå,TRUE,1 sept.,,Moteur physique et simulations temps réel pour usages industriels et jeux (C/C++),15,Suède,,,Anglais,"C, C++",WEB,?,x,internet,pas de rep,,,,
Guarani,TRUE,1sept.,,,,France,Lyon,,Francais,,WEB,?,x,internet,pas de rep,,,,
HN Servicies,TRUE,1 sept.,,,,Tout,Tout,,Anglais,,WEB,?,x,internet,pas de rep,,,,
Epiroc,TRUE,22 sept.,,,,Suède,Tout,,Anglais,,EMAIL,?,daisy.poblete@epiroc.com,facebook hervé,pas de rep,,,,
infomaniak,TRUE,28 sept.,,,,Suisse,Geneve,,Francais,,EMAIL,oui,recrutement@infomaniak.com,internet,non,"Bonjour Elouan,

Nous avons bien reçu votre candidature et vous en remercions. Votre dossier est en cours de traitement, nous reviendrons vers vous dès que possible.

Meilleurs messages

infomaniak
Anne Passera | Spécialiste RH","Bonjour Elouan,

Merci pour votre candidature et l’intérêt que vous portez à Infomaniak.

Après examen de votre dossier, nous avons finalement décidé de poursuivre le processus avec d’autres candidat·e·s dont le profil correspond davantage à nos besoins actuels.

Nous vous remercions sincèrement pour votre démarche et vous souhaitons beaucoup de succès pour la suite de vos projets.

Bien cordialement,
Ana",,
ELCA informatique,TRUE,28 sept.,,,,Suisse et autre,Geneve,,Francais,,WEB,?,x,internet,pas de rep,,,,
inSolus,TRUE,29 sept.,,logiciel / base de donnée / application web et mobile,9,Suisse,Geneve,,Francais,,EMAIL,?,contact@insolus.com,internet,pas de rep,,,,
